# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	10	space	LINE	present	12	hetero	homo	NA	NA	present	542.164804996	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	1	time	LINE	present	NA	hetero	hetero	5	3920.55453634	NA	NA	present	1657.996925
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	2	time	LINE	present	NA	hetero	hetero	9	4582.61819222	NA	NA	present	1819.10986005
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	3	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4516.764067
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	4	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.07090399
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	5	time	LINE	present	NA	hetero	hetero	9	4583.69416376	NA	NA	present	1986.910315
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	6	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4503.19859601
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	7	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.17674502
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	8	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.25540702
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	9	time	LINE	present	NA	hetero	hetero	10	4750.51866435	NA	NA	absent	2153.59924897
